condition,seed,task_name,realized_sample_count,realized_sample_fraction,realized_target_token_count,effective_loss_weight,frequency,kind,op,reference_learnability,formal_utility,intended_frequency,frequency_error,target_data_seen
base,1,A05_substitute,4763,0.019043468526100307,28578,0.019043468526100307,0.018948519685711,atomic,substitute,1.5,0.1352490775505666,0.018948519685711,9.49488403893077e-05,250000
base,1,A06_copy,70216,0.28073822927328557,421296,0.28073822927328557,0.2800372519400079,atomic,copy,1.0,0.1532282552757172,0.2800372519400079,0.0007009773332776748,250000
base,1,A07_reverse,16140,0.0645310900716479,96840,0.0645310900716479,0.065320998729833,atomic,reverse,2.0,0.1985323344506372,0.065320998729833,-0.0007899086581851095,250000
base,1,C00_reverse_then_substitute_04_03,4086,0.016336681166837258,24516,0.016336681166837258,0.0163049692906072,composite,reverse_then_substitute,3.0,0.0,0.0163049692906072,3.17118762300575e-05,250000
base,1,C01_substitute_then_reverse_04_06,8959,0.03581995266120778,53754,0.03581995266120778,0.0362963425666403,composite,substitute_then_reverse,3.0,0.0,0.0362963425666403,-0.0004763899054325213,250000
base,1,C02_copy_then_substitute_06_04,5639,0.0225458994370522,33834,0.0225458994370522,0.0225815364361807,composite,copy_then_substitute,3.0,0.0,0.0225815364361807,-3.56369991284973e-05,250000
base,1,C03_reverse_then_substitute_07_02,5124,0.020486821903787103,30744,0.020486821903787103,0.0206098816944667,composite,reverse_then_substitute,3.0,0.0,0.0206098816944667,-0.00012305979067959646,250000
base,1,C04_substitute_then_reverse_03_06,12799,0.05117307446264074,76794,0.05117307446264074,0.0516770010672922,composite,substitute_then_reverse,3.0,0.0,0.0516770010672922,-0.0005039266046514626,250000
base,1,C05_copy_then_substitute_06_07,10687,0.04272885747185261,64122,0.04272885747185261,0.0426733752056038,composite,copy_then_substitute,3.0,0.0,0.0426733752056038,5.548226624881025e-05,250000
base,1,C06_reverse_then_substitute_05_07,33799,0.1351354593142272,202794,0.1351354593142272,0.1352490775505666,composite,reverse_then_substitute,3.0,0.0,0.1352490775505666,-0.00011361823633937451,250000
base,1,C07_substitute_then_reverse_01_04,6291,0.025152731576253837,37746,0.025152731576253837,0.0249583463503928,composite,substitute_then_reverse,3.0,0.0,0.0249583463503928,0.00019438522586103651,250000
base,1,K00_shortcut_for_A02_substitute,4390,0.017552136642784034,26340,0.017552136642784034,0.0175299779461095,shortcut,shortcut_identity,1.0,0.0,0.0175299779461095,2.2158696674535322e-05,250000
base,1,K01_shortcut_for_A05_substitute,3873,0.015485062691914022,23238,0.015485062691914022,0.015236661713767,shortcut,shortcut_identity,1.0,0.0,0.015236661713767,0.00024840097814702103,250000
base,1,K02_shortcut_for_A03_copy,6901,0.027591638945752305,41406,0.027591638945752305,0.0278779716606898,shortcut,shortcut_identity,1.0,0.0,0.0278779716606898,-0.0002863327149374949,250000
base,1,S00_surface_rotate,22252,0.08896814227226203,133512,0.08896814227226203,0.088356497064568,surface_control,surface_rotate,2.0,0.0,0.088356497064568,0.0006116452076940365,250000
base,1,S01_surface_rotate,3373,0.013485958290685773,20238,0.013485958290685773,0.0134641728018988,surface_control,surface_rotate,2.0,0.0,0.0134641728018988,2.1785488786972562e-05,250000
base,1,S02_surface_rotate,3626,0.014497505117707267,21756,0.014497505117707267,0.0142969842826973,surface_control,surface_rotate,2.0,0.0,0.0142969842826973,0.0002005208350099666,250000
base,1,U00_unrelated_substitute,2521,0.010079484390992835,15126,0.010079484390992835,0.0099539167317642,unrelated,substitute,1.5,0.0,0.0099539167317642,0.00012556765922863526,250000
base,1,U01_unrelated_substitute,3023,0.012086585209825997,18138,0.012086585209825997,0.0120540867248666,unrelated,substitute,1.5,0.0,0.0120540867248666,3.249848495939789e-05,250000
base,1,U02_unrelated_substitute,2804,0.011210977482088024,16824,0.011210977482088024,0.0109061632033235,unrelated,substitute,1.5,0.0,0.0109061632033235,0.0003048142787645241,250000
base,2,A00_copy,2806,0.011218973899692938,16836,0.011218973899692938,0.0114521109717608,atomic,copy,1.0,0.0,0.0114521109717608,-0.00023313707206786168,250000
base,2,A01_reverse,7970,0.0318657241555783,47820,0.0318657241555783,0.0315479628573997,atomic,reverse,2.0,0.0249583463503928,0.0315479628573997,0.0003177612981785996,250000
base,2,A02_substitute,2411,0.00963968142272262,14466,0.00963968142272262,0.0095362756947815,atomic,substitute,1.5,0.0206098816944667,0.0095362756947815,0.0001034057279411197,250000
base,2,A03_copy,2621,0.010479305271238484,15726,0.010479305271238484,0.0104088219420859,atomic,copy,1.0,0.0679819703578995,0.0104088219420859,7.048332915258505e-05,250000
base,2,A04_reverse,3185,0.012734295035823951,19110,0.012734295035823951,0.0127210958869839,atomic,reverse,2.0,0.1001411946438212,0.0127210958869839,1.3199148840051592e-05,250000
base,2,A05_substitute,4657,0.018619658393039917,27942,0.018619658393039917,0.018948519685711,atomic,substitute,1.5,0.1352490775505666,0.018948519685711,-0.00032886129267108155,250000
base,2,A06_copy,69987,0.279822639457523,419922,0.279822639457523,0.2800372519400079,atomic,copy,1.0,0.1532282552757172,0.2800372519400079,-0.0002146124824848883,250000
base,2,A07_reverse,16170,0.0646510363357216,97020,0.0646510363357216,0.065320998729833,atomic,reverse,2.0,0.1985323344506372,0.065320998729833,-0.0006699623941114063,250000
base,2,C00_reverse_then_substitute_04_03,4157,0.016620553991811667,24942,0.016620553991811667,0.0163049692906072,composite,reverse_then_substitute,3.0,0.0,0.0163049692906072,0.0003155847012044667,250000
base,2,C01_substitute_then_reverse_04_06,9204,0.036799513817809625,55224,0.036799513817809625,0.0362963425666403,composite,substitute_then_reverse,3.0,0.0,0.0362963425666403,0.0005031712511693251,250000
base,2,C02_copy_then_substitute_06_04,5615,0.022449942425793245,33690,0.022449942425793245,0.0225815364361807,composite,copy_then_substitute,3.0,0.0,0.0225815364361807,-0.00013159401038745355,250000
base,2,C03_reverse_then_substitute_07_02,5077,0.020298906090071647,30462,0.020298906090071647,0.0206098816944667,composite,reverse_then_substitute,3.0,0.0,0.0206098816944667,-0.0003109756043950529,250000
base,2,C04_substitute_then_reverse_03_06,12947,0.0517648093654043,77682,0.0517648093654043,0.0516770010672922,composite,substitute_then_reverse,3.0,0.0,0.0516770010672922,8.780829811209923e-05,250000
base,2,C05_copy_then_substitute_06_07,10610,0.04242099539406346,63660,0.04242099539406346,0.0426733752056038,composite,copy_then_substitute,3.0,0.0,0.0426733752056038,-0.0002523798115403389,250000
base,2,C06_reverse_then_substitute_05_07,33941,0.13570320496417604,203646,0.13570320496417604,0.1352490775505666,composite,reverse_then_substitute,3.0,0.0,0.1352490775505666,0.00045412741360945086,250000
base,2,C07_substitute_then_reverse_01_04,6167,0.024656953684749232,37002,0.024656953684749232,0.0249583463503928,composite,substitute_then_reverse,3.0,0.0,0.0249583463503928,-0.00030139266564356906,250000
base,2,K00_shortcut_for_A02_substitute,4380,0.017512154554759466,26280,0.017512154554759466,0.0175299779461095,shortcut,shortcut_identity,1.0,0.0,0.0175299779461095,-1.7823391350032386e-05,250000
base,2,K01_shortcut_for_A05_substitute,3927,0.015700965967246672,23562,0.015700965967246672,0.015236661713767,shortcut,shortcut_identity,1.0,0.0,0.015236661713767,0.00046430425347967173,250000
base,2,K02_shortcut_for_A03_copy,6973,0.02787950997952917,41838,0.02787950997952917,0.0278779716606898,shortcut,shortcut_identity,1.0,0.0,0.0278779716606898,1.5383188393704172e-06,250000
base,2,S00_surface_rotate,22232,0.0888881780962129,133392,0.0888881780962129,0.088356497064568,surface_control,surface_rotate,2.0,0.0,0.088356497064568,0.0005316810316449011,250000
base,2,S01_surface_rotate,3355,0.013413990532241555,20130,0.013413990532241555,0.0134641728018988,surface_control,surface_rotate,2.0,0.0,0.0134641728018988,-5.0182269657245496e-05,250000
base,2,S02_surface_rotate,3652,0.014601458546571137,21912,0.014601458546571137,0.0142969842826973,surface_control,surface_rotate,2.0,0.0,0.0142969842826973,0.00030447426387383673,250000
