condition,seed,data_seen,task_i,task_j,linear_cka,checkpoint_fraction
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P13_parity_d3_15_21_39,0.9957593679428101,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P14_parity_d3_3_23_24,0.995850145816803,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P15_parity_d5_7_24_30_32_33,0.9949198961257935,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P16_parity_d5_3_18_23_29_37,0.9959686994552612,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P17_parity_d5_1_7_16_18_37,0.9944062829017639,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P18_parity_d5_0_17_30_32_34,0.9953378438949585,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P19_parity_d5_2_8_11_16_29,0.9953481554985046,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P20_parity_d3_4_7_35,0.9896162152290344,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P21_parity_d5_25_34_36_37_39,0.9960827231407166,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P22_parity_d5_5_14_30_35_36,0.9957600235939026,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P23_parity_d5_8_13_18_30_39,0.9959336519241333,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P00_parity_d3_1_15_16,0.9961282014846802,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P01_parity_d3_0_21_26,0.9542028307914734,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P02_parity_d5_14_17_22_28_39,0.9961708784103394,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P03_parity_d3_25_33_36,0.9943937659263611,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P04_parity_d5_5_14_22_28_32,0.9964483976364136,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P05_parity_d3_16_18_28,1.0,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P06_parity_d3_14_20_35,0.996503472328186,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P07_parity_d3_9_12_28,0.9972976446151733,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P08_parity_d5_12_14_28_35_38,0.9959030151367188,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P09_parity_d5_1_3_14_16_32,0.9942083954811096,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P10_parity_d3_2_3_33,0.9963030219078064,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P11_parity_d3_5_21_34,0.9952212572097778,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P12_parity_d3_9_27_30,0.9973016977310181,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P13_parity_d3_15_21_39,0.9954538345336914,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P14_parity_d3_3_23_24,0.9951329231262207,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P15_parity_d5_7_24_30_32_33,0.9966679811477661,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P16_parity_d5_3_18_23_29_37,0.9959784746170044,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P17_parity_d5_1_7_16_18_37,0.9962118864059448,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P18_parity_d5_0_17_30_32_34,0.9956843256950378,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P19_parity_d5_2_8_11_16_29,0.9958377480506897,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P20_parity_d3_4_7_35,0.9845630526542664,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P21_parity_d5_25_34_36_37_39,0.9967276453971863,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P22_parity_d5_5_14_30_35_36,0.9946156740188599,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,P23_parity_d5_8_13_18_30_39,0.9953994154930115,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P00_parity_d3_1_15_16,0.9966748952865601,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P01_parity_d3_0_21_26,0.9576706290245056,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P02_parity_d5_14_17_22_28_39,0.9971911907196045,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P03_parity_d3_25_33_36,0.994710385799408,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P04_parity_d5_5_14_22_28_32,0.9960699081420898,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P05_parity_d3_16_18_28,0.996503472328186,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P06_parity_d3_14_20_35,1.0,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P07_parity_d3_9_12_28,0.9970934391021729,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P08_parity_d5_12_14_28_35_38,0.9968268275260925,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P09_parity_d5_1_3_14_16_32,0.9951150417327881,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P10_parity_d3_2_3_33,0.9961386919021606,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P11_parity_d3_5_21_34,0.9946419596672058,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P12_parity_d3_9_27_30,0.9959407448768616,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P13_parity_d3_15_21_39,0.9964262247085571,1.00352
