source_run_dir,source_model_name,model_name,metric,group,n,mean_final,mean_delta,mean_auc,rho_frequency_proxy_final,rho_frequency_proxy_delta,rho_frequency_proxy_auc,rho_reference_learnability_final,rho_reference_learnability_delta,rho_reference_learnability_auc,rho_formal_utility_final,rho_formal_utility_delta,rho_formal_utility_auc,rho_composition_depth_final,rho_composition_depth_delta,rho_composition_depth_auc,rho_answer_entropy_proxy_final,rho_answer_entropy_proxy_delta,rho_answer_entropy_proxy_auc
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_logprob_margin,atomic,12,2.1158579954256616,1.9060204879691205,1.0912575853290036,0.0848104191288263,0.3215728391967999,-0.1943572105035603,-0.0035592823615667,-0.2384719182249752,0.2669461771175095,0.0356574791160334,0.2496023538122342,0.0178287395580167,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_logprob_margin,composite,10,1.8531071668490768,1.7373556395992638,0.900982931116596,0.5000857559392293,0.5556508399324771,0.4321728755030377,-0.5169842621131974,-0.5969937312497637,-0.4123564947807646,,,,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_logprob_margin,true_atomic_composite,22,1.996425800618123,1.829354647801004,1.0047691061415456,0.3082170783565998,0.3495770907095994,0.4515606828128861,-0.3023286940214676,-0.3647229835943784,-0.4152056360670062,0.2165767136222013,0.2397813615102943,0.5235920549108165,-0.2446106468043055,-0.2014440620741339,-0.5755544630689542,,,
results/pythia_arithmetic_model_sweep_v34/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,accuracy,all,24,0.2428385416666666,-0.015625,0.25048828125,-0.1202413516667916,0.2491007210064234,-0.1528175445910199,0.2877992336861005,-0.1319617781195004,0.2870616520040768,0.2321604377224882,0.3750963995546231,0.0938841734231249,-0.0372486437256969,0.0199925967052803,-0.0122708623827969,,,
results/pythia_arithmetic_model_sweep_v34/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,accuracy,atomic,12,0.25,-0.0091145833333333,0.2555338541666667,-0.3819974841829169,0.3159317187376949,-0.4550477473638919,0.3811258545363295,-0.2883803896963964,0.4347826086956522,0.1636363636363636,0.7670905732690587,-0.1179675264041019,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,accuracy,composite,10,0.2390625,-0.015625,0.248046875,-0.7169811320754718,0.5007976221443431,-0.4923190518154744,0.7680288520687637,-0.5720345773572675,0.6049843779478736,,,,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,accuracy,true_atomic_composite,22,0.2450284090909091,-0.0120738636363636,0.2521306818181818,-0.1501777637256947,0.2731809214839603,-0.1778798561433514,0.2061513478211387,-0.3047300826068658,0.2394409902985128,0.1704477140128594,0.3199835052810157,0.0428085771650762,-0.1173521111734685,-0.0889455854213878,-0.0651558364144604,,,
results/pythia_arithmetic_model_sweep_v34/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_correct_margin,all,24,-0.8864927409061542,-0.4608794269928087,-0.799813195791406,-0.1060215882356487,-0.1178017647062763,-0.2373487407415345,0.0523678051799777,0.0340390733669855,0.2858409366073787,-0.0041931279695378,-0.0260905740326799,-0.0736126910207754,-0.0122093539133471,0.0,0.256396432180291,,,
results/pythia_arithmetic_model_sweep_v34/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_correct_margin,atomic,12,-0.8903557159161816,-0.4734041663662841,-0.8126165451055082,-0.0706753492740219,-0.1307493961569406,-0.1236818612295384,0.0,0.0711856472313358,0.0569485177850687,0.2317736142542175,0.1782873955801673,0.1604586560221505,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_correct_margin,composite,10,-0.9066974250599742,-0.4753213180229068,-0.7701129117049277,-0.4939118577177574,-0.4136511808386218,-0.4321728755030377,0.5292934112111307,0.4000473456828313,0.4862113893683642,,,,,,,,,
