condition,seed,task_name,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold,copy_fraction,structure_id,kind,op,operation_type,components,frequency,reference_learnability,formal_utility,composition_depth,control_type,output_entropy,random_baseline_token_accuracy,target_length,max_data_seen,censored_acquired_at,is_censored,log_acquired_at,log_frequency
base,2,A07_reverse,57856.0,0.7,2,token_accuracy,0.8115234375,0.080078125,0.080078125,token_accuracy,0.7,0.0283203125,A07_reverse,atomic,reverse,reverse,,0.0142969842826973,2.0,0.031814849645611,1,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-4.2477066532784225
base,2,C00_reverse_then_substitute_06_04,61952.0,0.7,2,token_accuracy,0.8170573115348816,0.115234375,0.115234375,token_accuracy,0.7,0.0283203125,C00_reverse_then_substitute_06_04,composite,reverse_then_substitute,reverse_then_substitute,"A06_copy,A04_reverse",0.0516770010672922,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,61952.0,False,11.034131312034901,-2.962742450075196
base,2,C01_substitute_then_reverse_03_04,61952.0,0.7,2,token_accuracy,0.810546875,0.080078125,0.080078125,token_accuracy,0.7,0.0283203125,C01_substitute_then_reverse_03_04,composite,substitute_then_reverse,substitute_then_reverse,"A03_copy,A04_reverse",0.0278779716606898,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,61952.0,False,11.034131312034901,-3.579918448222423
base,2,C02_copy_then_substitute_00_07,61952.0,0.7,2,token_accuracy,0.8121744990348816,0.0703125,0.0703125,token_accuracy,0.7,0.0283203125,C02_copy_then_substitute_00_07,composite,copy_then_substitute,copy_then_substitute,"A00_copy,A07_reverse",0.0104088219420859,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,61952.0,False,11.034131312034901,-4.565101568744997
base,2,C03_reverse_then_substitute_06_01,61952.0,0.7,2,token_accuracy,0.8134765625,0.083984375,0.083984375,token_accuracy,0.7,0.0283203125,C03_reverse_then_substitute_06_01,composite,reverse_then_substitute,reverse_then_substitute,"A06_copy,A01_reverse",0.065320998729833,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,61952.0,False,11.034131312034901,-2.7284417211952756
base,2,C04_substitute_then_reverse_07_01,14336.0,0.7,2,token_accuracy,0.9697265625,0.82421875,0.82421875,token_accuracy,0.7,1.0,C04_substitute_then_reverse_07_01,composite,substitute_then_reverse,substitute_then_reverse,"A07_reverse,A01_reverse",0.0099539167317642,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.609789163884742
base,2,C05_copy_then_substitute_06_07,57856.0,0.7,2,token_accuracy,0.8203125,0.09375,0.09375,token_accuracy,0.7,0.0283203125,C05_copy_then_substitute_06_07,composite,copy_then_substitute,copy_then_substitute,"A06_copy,A07_reverse",0.0114521109717608,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-4.469581201628984
base,2,C06_reverse_then_substitute_02_00,,0.7,2,token_accuracy,0.6451823115348816,0.0,0.0,token_accuracy,0.7,0.0,C06_reverse_then_substitute_02_00,composite,reverse_then_substitute,reverse_then_substitute,"A02_substitute,A00_copy",0.0426733752056038,3.0,0.0,2,,4.99004999677094,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.1541800847088486
base,2,C07_substitute_then_reverse_04_03,61952.0,0.7,2,token_accuracy,0.8138021230697632,0.076171875,0.076171875,token_accuracy,0.7,0.0283203125,C07_substitute_then_reverse_04_03,composite,substitute_then_reverse,substitute_then_reverse,"A04_reverse,A03_copy",0.088356497064568,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,61952.0,False,11.034131312034901,-2.426375545120905
base,2,K00_shortcut_for_A00_copy,14336.0,0.7,2,token_accuracy,0.9716796875,0.8359375,0.8359375,token_accuracy,0.7,1.0,K00_shortcut_for_A00_copy,shortcut,shortcut_identity,shortcut_identity,A00_copy,0.0163049692906072,1.0,0.0,2,shortcut_no_reuse,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.116285353176716
base,2,K01_shortcut_for_A07_reverse,14336.0,0.7,2,token_accuracy,0.974609375,0.853515625,0.853515625,token_accuracy,0.7,1.0,K01_shortcut_for_A07_reverse,shortcut,shortcut_identity,shortcut_identity,A07_reverse,0.0175299779461095,1.0,0.0,2,shortcut_no_reuse,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.043842838115416
base,2,K02_shortcut_for_A04_reverse,14336.0,0.7,2,token_accuracy,0.978515625,0.873046875,0.873046875,token_accuracy,0.7,1.0,K02_shortcut_for_A04_reverse,shortcut,shortcut_identity,shortcut_identity,A04_reverse,0.0362963425666403,1.0,0.0,2,shortcut_no_reuse,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-3.3160382985274692
base,2,S00_surface_rotate,,0.7,2,token_accuracy,0.3138020932674408,0.0,0.0,token_accuracy,0.7,0.03369140625,S00_surface_rotate,surface_control,surface_rotate,surface_rotate,,0.0206098816944667,2.0,0.0,1,surface_overlap_no_dependency,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.8819846242967926
base,2,S01_surface_rotate,,0.7,2,token_accuracy,0.462890625,0.001953125,0.001953125,token_accuracy,0.7,0.03369140625,S01_surface_rotate,surface_control,surface_rotate,surface_rotate,,0.0315479628573997,2.0,0.0,1,surface_overlap_no_dependency,4.99004999677094,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.456246260783218
base,2,S02_surface_rotate,,0.7,2,token_accuracy,0.2265625,0.0,0.0,token_accuracy,0.7,0.0302734375,S02_surface_rotate,surface_control,surface_rotate,surface_rotate,,0.015236661713767,2.0,0.0,1,surface_overlap_no_dependency,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-4.184050800371162
base,2,U00_unrelated_substitute,,0.7,2,token_accuracy,0.0810546875,0.0,0.0,token_accuracy,0.7,0.0,U00_unrelated_substitute,unrelated,substitute,substitute,,0.0225815364361807,1.5,0.0,1,unrelated_matched,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.790622678457683
base,2,U01_unrelated_substitute,,0.7,2,token_accuracy,0.6614583730697632,0.0,0.0,token_accuracy,0.7,0.0,U01_unrelated_substitute,unrelated,substitute,substitute,,0.0249583463503928,1.5,0.0,1,unrelated_matched,4.99004999677094,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.690546989663138
base,2,U02_unrelated_substitute,,0.7,2,token_accuracy,0.0823567733168602,0.0,0.0,token_accuracy,0.7,0.0,U02_unrelated_substitute,unrelated,substitute,substitute,,0.0127210958869839,1.5,0.0,1,unrelated_matched,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-4.36449357014416
base,3,A00_copy,14336.0,0.7,2,token_accuracy,0.9713541865348816,0.828125,0.828125,token_accuracy,0.7,1.0,A00_copy,atomic,copy,copy,,0.0109061632033235,1.0,0.0530821971476897,1,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.518427218045626
