condition,seed,task_name,auc_token_accuracy
corrupt_component_strong,3,C03_reverse_then_substitute_06_01,0.932172909893759
corrupt_component_strong,3,C04_substitute_then_reverse_03_07,0.9322676989044937
corrupt_component_strong,3,C05_copy_then_substitute_07_06,0.9327932931578117
corrupt_component_strong,3,C06_reverse_then_substitute_01_05,0.0679733832936032
corrupt_component_strong,3,C07_substitute_then_reverse_07_03,0.9330145323624265
corrupt_component_strong,3,K00_shortcut_for_A07_reverse,0.5401673515173802
corrupt_component_strong,3,K01_shortcut_for_A03_copy,0.5397470381965016
corrupt_component_strong,3,K02_shortcut_for_A00_copy,0.5395654607554679
corrupt_component_strong,3,S00_surface_rotate,0.22366330655960856
corrupt_component_strong,3,S01_surface_rotate,0.2243168465030535
corrupt_component_strong,3,S02_surface_rotate,0.2502172415477425
corrupt_component_strong,3,U00_unrelated_substitute,0.08343995487967558
corrupt_component_strong,3,U01_unrelated_substitute,0.026613078128733304
corrupt_component_strong,3,U02_unrelated_substitute,0.08541357008685017
corrupt_component_strong,4,A00_copy,0.5573291662830703
corrupt_component_strong,4,A01_reverse,0.9312354979804024
corrupt_component_strong,4,A02_substitute,0.0264886338807101
corrupt_component_strong,4,A03_copy,0.5578694275552702
corrupt_component_strong,4,A04_reverse,0.9311073865625196
corrupt_component_strong,4,A05_substitute,0.01949909828343982
corrupt_component_strong,4,A06_copy,0.5562174942024136
corrupt_component_strong,4,A07_reverse,0.9310622379429707
corrupt_component_strong,4,C00_reverse_then_substitute_02_05,0.024391739834157197
corrupt_component_strong,4,C01_substitute_then_reverse_01_03,0.9311845138480271
corrupt_component_strong,4,C02_copy_then_substitute_04_07,0.5583402131871914
corrupt_component_strong,4,C03_reverse_then_substitute_06_01,0.9304108629231946
corrupt_component_strong,4,C04_substitute_then_reverse_03_07,0.9316546389539493
corrupt_component_strong,4,C05_copy_then_substitute_07_06,0.9308115131438098
corrupt_component_strong,4,C06_reverse_then_substitute_01_05,0.033850002968147025
corrupt_component_strong,4,C07_substitute_then_reverse_07_03,0.9308654949232982
corrupt_component_strong,4,K00_shortcut_for_A07_reverse,0.5569138457977661
corrupt_component_strong,4,K01_shortcut_for_A03_copy,0.557518413608766
corrupt_component_strong,4,K02_shortcut_for_A00_copy,0.5579293946751767
corrupt_component_strong,4,S00_surface_rotate,0.2518118604256971
corrupt_component_strong,4,S01_surface_rotate,0.25268763398604815
corrupt_component_strong,4,S02_surface_rotate,0.2781157459179082
corrupt_component_strong,4,U00_unrelated_substitute,0.12682435216197216
corrupt_component_strong,4,U01_unrelated_substitute,0.020905135160344455
corrupt_component_strong,4,U02_unrelated_substitute,0.12789970464116018
corrupt_component_strong,5,A00_copy,0.5639775177757489
corrupt_component_strong,5,A01_reverse,0.931643646587918
corrupt_component_strong,5,A02_substitute,0.02409887090306288
corrupt_component_strong,5,A03_copy,0.561845148758183
corrupt_component_strong,5,A04_reverse,0.9318360528482569
corrupt_component_strong,5,A05_substitute,0.01932217747434408
corrupt_component_strong,5,A06_copy,0.5636343484326908
corrupt_component_strong,5,A07_reverse,0.9315805072222236
corrupt_component_strong,5,C00_reverse_then_substitute_02_05,0.024095039445803913
corrupt_component_strong,5,C01_substitute_then_reverse_01_03,0.9323060116144384
corrupt_component_strong,5,C02_copy_then_substitute_04_07,0.5637183069893014
corrupt_component_strong,5,C03_reverse_then_substitute_06_01,0.9316216514616472
corrupt_component_strong,5,C04_substitute_then_reverse_03_07,0.9316874524500286
corrupt_component_strong,5,C05_copy_then_substitute_07_06,0.9314993689868107
corrupt_component_strong,5,C06_reverse_then_substitute_01_05,0.06474599472093412
corrupt_component_strong,5,C07_substitute_then_reverse_07_03,0.9321430865379704
corrupt_component_strong,5,K00_shortcut_for_A07_reverse,0.5615209575567086
corrupt_component_strong,5,K01_shortcut_for_A03_copy,0.563938874468215
corrupt_component_strong,5,K02_shortcut_for_A00_copy,0.5640984705907647
corrupt_component_strong,5,S00_surface_rotate,0.26777221120611794
corrupt_component_strong,5,S01_surface_rotate,0.26901815462563883
corrupt_component_strong,5,S02_surface_rotate,0.18059959716831803
corrupt_component_strong,5,U00_unrelated_substitute,0.1543238691503264
corrupt_component_strong,5,U01_unrelated_substitute,0.020989263992177015
corrupt_component_strong,5,U02_unrelated_substitute,0.15439599957278985
corrupt_component_strong,6,A00_copy,0.6140017763701027
corrupt_component_strong,6,A01_reverse,0.9351895564190944
corrupt_component_strong,6,A02_substitute,0.024746081175067144
corrupt_component_strong,6,A03_copy,0.6140387603725205
corrupt_component_strong,6,A04_reverse,0.9348743652749498
corrupt_component_strong,6,A05_substitute,0.020930290465722628
corrupt_component_strong,6,A06_copy,0.6160173731290772
corrupt_component_strong,6,A07_reverse,0.9353481495730053
corrupt_component_strong,6,C00_reverse_then_substitute_02_05,0.027150170847071955
corrupt_component_strong,6,C01_substitute_then_reverse_01_03,0.9349618205055213
corrupt_component_strong,6,C02_copy_then_substitute_04_07,0.6157893124679933
corrupt_component_strong,6,C03_reverse_then_substitute_06_01,0.935079605557871
corrupt_component_strong,6,C04_substitute_then_reverse_03_07,0.9349065131718481
corrupt_component_strong,6,C05_copy_then_substitute_07_06,0.9348930227470145
corrupt_component_strong,6,C06_reverse_then_substitute_01_05,0.10969735726971154
corrupt_component_strong,6,C07_substitute_then_reverse_07_03,0.9351735640995914
corrupt_component_strong,6,K00_shortcut_for_A07_reverse,0.6150872874385396
corrupt_component_strong,6,K01_shortcut_for_A03_copy,0.6131609861949647
corrupt_component_strong,6,K02_shortcut_for_A00_copy,0.6146919684171936
corrupt_component_strong,6,S00_surface_rotate,0.31475216373438997
corrupt_component_strong,6,S01_surface_rotate,0.31316237708986444
corrupt_component_strong,6,S02_surface_rotate,0.14396367454663025
corrupt_component_strong,6,U00_unrelated_substitute,0.20596706336068643
corrupt_component_strong,6,U01_unrelated_substitute,0.021833552487057258
corrupt_component_strong,6,U02_unrelated_substitute,0.20559589622471722
corrupt_component_strong,7,A00_copy,0.5498833343236037
corrupt_component_strong,7,A01_reverse,0.9409438110430446
corrupt_component_strong,7,A02_substitute,0.03388648628692849
corrupt_component_strong,7,A03_copy,0.5508958826703282
corrupt_component_strong,7,A04_reverse,0.9407827105762069
corrupt_component_strong,7,A05_substitute,0.03498149619837164
corrupt_component_strong,7,A06_copy,0.5511386077221914
corrupt_component_strong,7,A07_reverse,0.9404941775379445
corrupt_component_strong,7,C00_reverse_then_substitute_02_05,0.03292091914043668
corrupt_component_strong,7,C01_substitute_then_reverse_01_03,0.9409739620861585
corrupt_component_strong,7,C02_copy_then_substitute_04_07,0.5521851346218919
corrupt_component_strong,7,C03_reverse_then_substitute_06_01,0.9405269979946353
corrupt_component_strong,7,C04_substitute_then_reverse_03_07,0.9409787929087816
corrupt_component_strong,7,C05_copy_then_substitute_07_06,0.9409473052652536
corrupt_component_strong,7,C06_reverse_then_substitute_01_05,0.11052332224332746
corrupt_component_strong,7,C07_substitute_then_reverse_07_03,0.9400473751657725
corrupt_component_strong,7,K00_shortcut_for_A07_reverse,0.5517231765848526
corrupt_component_strong,7,K01_shortcut_for_A03_copy,0.5508902173207171
corrupt_component_strong,7,K02_shortcut_for_A00_copy,0.5523075779962869
corrupt_component_strong,7,S00_surface_rotate,0.23476333449858727
corrupt_component_strong,7,S01_surface_rotate,0.23623384330841116
corrupt_component_strong,7,S02_surface_rotate,0.23690037563073324
corrupt_component_strong,7,U00_unrelated_substitute,0.08525780683903819
corrupt_component_strong,7,U01_unrelated_substitute,0.028197035242058903
corrupt_component_strong,7,U02_unrelated_substitute,0.08446649530523112
corrupt_component_strong,8,A00_copy,0.5391041646075713
corrupt_component_strong,8,A01_reverse,0.937745570235656
corrupt_component_strong,8,A02_substitute,0.02679099825362435
corrupt_component_strong,8,A03_copy,0.5397848579594093
corrupt_component_strong,8,A04_reverse,0.9377983870202087
corrupt_component_strong,8,A05_substitute,0.019036805290088214
corrupt_component_strong,8,A06_copy,0.5379868305956481
corrupt_component_strong,8,A07_reverse,0.9371426722517155
corrupt_component_strong,8,C00_reverse_then_substitute_02_05,0.025163060948328916
corrupt_component_strong,8,C01_substitute_then_reverse_01_03,0.937524008125204
corrupt_component_strong,8,C02_copy_then_substitute_04_07,0.5384183042494918
corrupt_component_strong,8,C03_reverse_then_substitute_06_01,0.9371166898837521
corrupt_component_strong,8,C04_substitute_then_reverse_03_07,0.9374455423785436
corrupt_component_strong,8,C05_copy_then_substitute_07_06,0.9375591565985443
corrupt_component_strong,8,C06_reverse_then_substitute_01_05,0.059324425011784476
corrupt_component_strong,8,C07_substitute_then_reverse_07_03,0.9385543826532797
corrupt_component_strong,8,K00_shortcut_for_A07_reverse,0.5395318105532774
