condition,model,permutation_index,true_cv_rmse_log_time,permuted_cv_rmse_log_time,true_beats_permutation
batch_small,learnability_only,7,1.1447353468778094,1.8217004753229986,True
batch_small,learnability_only,8,1.1447353468778094,1.6581419054365185,True
batch_small,learnability_only,9,1.1447353468778094,1.8217004753229984,True
batch_small,learnability_only,10,1.1447353468778094,1.6980889747605574,True
batch_small,learnability_only,11,1.1447353468778094,1.3752286901239874,True
batch_small,learnability_only,12,1.1447353468778094,1.251364613188554,True
batch_small,learnability_only,13,1.1447353468778094,1.24535447080714,True
batch_small,learnability_only,14,1.1447353468778094,1.7537076039964405,True
batch_small,learnability_only,15,1.1447353468778094,1.8216987802992466,True
batch_small,learnability_only,16,1.1447353468778094,1.7530115569717184,True
batch_small,learnability_only,17,1.1447353468778094,1.532139397606997,True
batch_small,learnability_only,18,1.1447353468778094,1.8078810968581014,True
batch_small,learnability_only,19,1.1447353468778094,1.821233770853595,True
batch_small,learnability_only,20,1.1447353468778094,1.7537076039964408,True
batch_small,learnability_only,21,1.1447353468778094,1.7056120602240479,True
batch_small,learnability_only,22,1.1447353468778094,1.6995850958765513,True
batch_small,learnability_only,23,1.1447353468778094,1.7695548077891867,True
batch_small,learnability_only,24,1.1447353468778094,1.8208646822802204,True
batch_small,learnability_only,25,1.1447353468778094,1.6995850958765513,True
batch_small,learnability_only,26,1.1447353468778094,1.8212337708535946,True
batch_small,learnability_only,27,1.1447353468778094,1.6995887244921397,True
batch_small,learnability_only,28,1.1447353468778094,1.6995887244921397,True
batch_small,learnability_only,29,1.1447353468778094,1.807887002870235,True
batch_small,learnability_only,30,1.1447353468778094,1.6581419054365183,True
batch_small,learnability_only,31,1.1447353468778094,1.7056120602240479,True
batch_small,learnability_only,32,1.1447353468778094,1.7071066287220975,True
batch_small,learnability_only,33,1.1447353468778094,1.8208646822802204,True
batch_small,learnability_only,34,1.1447353468778094,1.7537040922063385,True
batch_small,learnability_only,35,1.1447353468778094,1.8208646822802204,True
batch_small,learnability_only,36,1.1447353468778094,1.370648327290331,True
batch_small,learnability_only,37,1.1447353468778094,1.7071066287220977,True
batch_small,learnability_only,38,1.1447353468778094,1.7695548077891867,True
batch_small,learnability_only,39,1.1447353468778094,1.770620512373228,True
batch_small,learnability_only,40,1.1447353468778094,1.7530115569717184,True
batch_small,learnability_only,41,1.1447353468778094,1.7537040922063385,True
batch_small,learnability_only,42,1.1447353468778094,1.7056120602240479,True
batch_small,learnability_only,43,1.1447353468778094,1.2453361976650124,True
batch_small,learnability_only,44,1.1447353468778094,1.8217004753229984,True
batch_small,learnability_only,45,1.1447353468778094,1.7056120602240477,True
batch_small,learnability_only,46,1.1447353468778094,1.6995850958765506,True
batch_small,learnability_only,47,1.1447353468778094,1.8216987802992466,True
batch_small,learnability_only,48,1.1447353468778094,1.807887007572254,True
batch_small,learnability_only,49,1.1447353468778094,1.7071066287220975,True
batch_small,learnability_only,50,1.1447353468778094,1.8078810968581014,True
batch_small,learnability_only,51,1.1447353468778094,0.939317451243762,False
batch_small,learnability_only,52,1.1447353468778094,1.7056197546291416,True
batch_small,learnability_only,53,1.1447353468778094,1.7530115569717184,True
batch_small,learnability_only,54,1.1447353468778094,0.9392969139289818,False
batch_small,learnability_only,55,1.1447353468778094,1.8212337708535948,True
batch_small,learnability_only,56,1.1447353468778094,1.6980776194009006,True
batch_small,learnability_only,57,1.1447353468778094,1.5321393976069966,True
batch_small,learnability_only,58,1.1447353468778094,1.7537040922063383,True
batch_small,learnability_only,59,1.1447353468778094,1.8208646822802201,True
batch_small,learnability_only,60,1.1447353468778094,1.3706483272903305,True
batch_small,learnability_only,61,1.1447353468778094,1.7100392671351068,True
batch_small,learnability_only,62,1.1447353468778094,1.2513772459902806,True
batch_small,learnability_only,63,1.1447353468778094,1.7537076039964408,True
batch_small,learnability_only,64,1.1447353468778094,1.8212356783648445,True
batch_small,learnability_only,65,1.1447353468778094,1.6995850958765513,True
batch_small,learnability_only,66,1.1447353468778094,1.8213713393602753,True
batch_small,learnability_only,67,1.1447353468778094,1.7530115569717184,True
batch_small,learnability_only,68,1.1447353468778094,1.7537076039964408,True
batch_small,learnability_only,69,1.1447353468778094,1.3752286901239874,True
batch_small,learnability_only,70,1.1447353468778094,1.7537076039964405,True
batch_small,learnability_only,71,1.1447353468778094,1.8208646822802201,True
batch_small,learnability_only,72,1.1447353468778094,1.8212356783648447,True
batch_small,learnability_only,73,1.1447353468778094,1.3752286901239874,True
batch_small,learnability_only,74,1.1447353468778094,1.6980889747605574,True
batch_small,learnability_only,75,1.1447353468778094,1.6995850958765508,True
batch_small,learnability_only,76,1.1447353468778094,1.8212356783648445,True
batch_small,learnability_only,77,1.1447353468778094,1.8212337708535946,True
batch_small,learnability_only,78,1.1447353468778094,1.7071066287220977,True
batch_small,learnability_only,79,1.1447353468778094,1.8217004753229984,True
batch_small,learnability_only,80,1.1447353468778094,1.821371339360275,True
batch_small,learnability_only,81,1.1447353468778094,1.3706246842265748,True
batch_small,learnability_only,82,1.1447353468778094,1.2478063979973806,True
batch_small,learnability_only,83,1.1447353468778094,1.7537076039964408,True
batch_small,learnability_only,84,1.1447353468778094,1.583492235692512,True
batch_small,learnability_only,85,1.1447353468778094,0.9393174512437618,False
batch_small,learnability_only,86,1.1447353468778094,1.3706246842265748,True
batch_small,learnability_only,87,1.1447353468778094,1.7100392671351068,True
batch_small,learnability_only,88,1.1447353468778094,1.660043525590378,True
batch_small,learnability_only,89,1.1447353468778094,1.7530115569717186,True
batch_small,learnability_only,90,1.1447353468778094,1.3706483272903305,True
batch_small,learnability_only,91,1.1447353468778094,1.8212356783648442,True
batch_small,learnability_only,92,1.1447353468778094,1.7537040922063385,True
batch_small,learnability_only,93,1.1447353468778094,1.7056120602240479,True
batch_small,learnability_only,94,1.1447353468778094,1.697376410680642,True
batch_small,learnability_only,95,1.1447353468778094,1.7537040922063385,True
batch_small,learnability_only,96,1.1447353468778094,1.8216987802992466,True
batch_small,learnability_only,97,1.1447353468778094,1.6581321387391876,True
batch_small,learnability_only,98,1.1447353468778094,1.6995887244921402,True
batch_small,learnability_only,99,1.1447353468778094,1.2478063979973808,True
lr_high,learnability_only,0,1.1372020305811317,1.7731066850496462,True
lr_high,learnability_only,1,1.1372020305811317,1.5912069970951366,True
lr_high,learnability_only,2,1.1372020305811317,1.3780806753209074,True
lr_high,learnability_only,3,1.1372020305811317,1.7727717883851923,True
lr_high,learnability_only,4,1.1372020305811317,1.3850893451795196,True
lr_high,learnability_only,5,1.1372020305811317,1.6361724264694844,True
lr_high,learnability_only,6,1.1372020305811317,1.837717809554247,True
lr_high,learnability_only,7,1.1372020305811317,1.7185988131811878,True
lr_high,learnability_only,8,1.1372020305811317,1.774094555536846,True
lr_high,learnability_only,9,1.1372020305811317,1.7185988131811876,True
lr_high,learnability_only,10,1.1372020305811317,0.595461336038325,False
lr_high,learnability_only,11,1.1372020305811317,1.5893902603169128,True
lr_high,learnability_only,12,1.1372020305811317,1.5485481157116459,True
lr_high,learnability_only,13,1.1372020305811317,1.6808132010361725,True
lr_high,learnability_only,14,1.1372020305811317,1.2692847635079019,True
lr_high,learnability_only,15,1.1372020305811317,0.9343326490417474,False
lr_high,learnability_only,16,1.1372020305811317,1.8380796344504309,True
lr_high,learnability_only,17,1.1372020305811317,1.837717809554247,True
lr_high,learnability_only,18,1.1372020305811317,1.7908415939235134,True
