condition,seed,data_seen,task_i,task_j,linear_cka
baseline,0,120320,A06_not_bit_13,K03_shortcut_for_09_bit15,0.024156637489795685
baseline,0,120320,A06_not_bit_13,S00_surface_xor_12_29,0.10427778959274292
baseline,0,120320,A06_not_bit_13,S01_surface_xor_41_9,0.08285979181528091
baseline,0,120320,A06_not_bit_13,S02_surface_xor_7_46,0.10703093558549881
baseline,0,120320,A06_not_bit_13,S03_surface_xor_42_12,0.07268992066383362
baseline,0,120320,A06_not_bit_13,U00_or_bits_6_36,0.19738468527793884
baseline,0,120320,A06_not_bit_13,U01_eq2_22_31,0.06723549216985703
baseline,0,120320,A06_not_bit_13,U02_eq2_21_40,0.08910942077636719
baseline,0,120320,A06_not_bit_13,U03_and_bits_13_21,0.28469225764274597
baseline,0,120320,A07_and_bits_46_35,A00_not_bit_1,0.11186014860868454
baseline,0,120320,A07_and_bits_46_35,A01_xor2_39_25,0.35977455973625183
baseline,0,120320,A07_and_bits_46_35,A02_eq2_5_15,0.33175575733184814
baseline,0,120320,A07_and_bits_46_35,A03_xor2_6_45,0.4114367365837097
baseline,0,120320,A07_and_bits_46_35,A04_eq2_24_18,0.3753505349159241
baseline,0,120320,A07_and_bits_46_35,A05_not_bit_2,0.10916510969400406
baseline,0,120320,A07_and_bits_46_35,A06_not_bit_13,0.1072370857000351
baseline,0,120320,A07_and_bits_46_35,A07_and_bits_46_35,1.0
baseline,0,120320,A07_and_bits_46_35,A08_and_bits_44_34,0.5931722521781921
baseline,0,120320,A07_and_bits_46_35,A09_xor2_46_15,0.32262691855430603
baseline,0,120320,A07_and_bits_46_35,A10_bit_24,0.04724755510687828
baseline,0,120320,A07_and_bits_46_35,A11_xor2_37_21,0.29016008973121643
baseline,0,120320,A07_and_bits_46_35,C00_or_02_00,0.08033043146133423
baseline,0,120320,A07_and_bits_46_35,C01_or_07_09,0.5532269477844238
baseline,0,120320,A07_and_bits_46_35,C02_and_07_08,0.8841084837913513
baseline,0,120320,A07_and_bits_46_35,C03_and_00_05,0.22214247286319733
baseline,0,120320,A07_and_bits_46_35,C04_or_07_00,0.23896946012973785
baseline,0,120320,A07_and_bits_46_35,C05_and_11_09,0.4131569564342499
baseline,0,120320,A07_and_bits_46_35,C06_or_02_07,0.6028423309326172
baseline,0,120320,A07_and_bits_46_35,C07_or_09_00,0.11655545234680176
baseline,0,120320,A07_and_bits_46_35,C08_or_04_03,0.1940993368625641
baseline,0,120320,A07_and_bits_46_35,C09_or_00_05,0.0880744680762291
baseline,0,120320,A07_and_bits_46_35,K00_shortcut_for_05_bit0,0.30845972895622253
baseline,0,120320,A07_and_bits_46_35,K01_shortcut_for_07_bit36,0.0853177011013031
baseline,0,120320,A07_and_bits_46_35,K02_shortcut_for_07_bit18,0.21147790551185608
baseline,0,120320,A07_and_bits_46_35,K03_shortcut_for_09_bit15,0.07999300211668015
baseline,0,120320,A07_and_bits_46_35,S00_surface_xor_12_29,0.29950404167175293
baseline,0,120320,A07_and_bits_46_35,S01_surface_xor_41_9,0.5230373740196228
baseline,0,120320,A07_and_bits_46_35,S02_surface_xor_7_46,0.37179020047187805
