condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy
upweight_unrelated_matched,0,U01_or_bits_46_28,unrelated,,0.9,2,balanced_accuracy,0.7021308988332748,0.798828125,0.7021308988332748
upweight_unrelated_matched,0,U02_xor2_1_29,unrelated,,0.9,2,balanced_accuracy,0.5267897248268127,0.52685546875,0.5267897248268127
upweight_unrelated_matched,0,U03_and_bits_37_42,unrelated,98304.0,0.9,2,balanced_accuracy,0.9772135615348816,0.9873046875,0.9772135615348816
upweight_fake_component,0,A00_xor2_12_26,atomic,,0.9,2,balanced_accuracy,0.5242228806018829,0.5244140625,0.5242228806018829
upweight_fake_component,0,A01_and_bits_31_32,atomic,,0.9,2,balanced_accuracy,0.5807380676269531,0.7734375,0.5807380676269531
upweight_fake_component,0,A02_or_bits_19_44,atomic,,0.9,2,balanced_accuracy,0.9196928143501282,0.92333984375,0.9196928143501282
upweight_fake_component,0,A03_xor2_18_17,atomic,,0.9,2,balanced_accuracy,0.502587303519249,0.50244140625,0.502587303519249
upweight_fake_component,0,A04_bit_8,atomic,,0.9,2,balanced_accuracy,0.9063804745674133,0.90380859375,0.9063804745674133
upweight_fake_component,0,A05_not_bit_33,atomic,76288.0,0.9,2,balanced_accuracy,0.9975822269916534,0.99755859375,0.9975822269916534
upweight_fake_component,0,A06_or_bits_46_41,atomic,76288.0,0.9,2,balanced_accuracy,0.9983923733234406,0.99853515625,0.9983923733234406
upweight_fake_component,0,A07_bit_10,atomic,100352.0,0.9,2,balanced_accuracy,0.9870040118694305,0.98681640625,0.9870040118694305
upweight_fake_component,0,A08_bit_22,atomic,,0.9,2,balanced_accuracy,0.8188544809818268,0.81591796875,0.8188544809818268
upweight_fake_component,0,A09_xor2_22_5,atomic,,0.9,2,balanced_accuracy,0.6046909987926483,0.6064453125,0.6046909987926483
upweight_fake_component,0,A10_xor2_9_25,atomic,,0.9,2,balanced_accuracy,0.6579009592533112,0.658203125,0.6579009592533112
upweight_fake_component,0,A11_eq2_30_27,atomic,,0.9,2,balanced_accuracy,0.5138184428215027,0.51318359375,0.5138184428215027
upweight_fake_component,0,C00_and_02_06,composite,,0.9,2,balanced_accuracy,0.8304759860038757,0.83740234375,0.8304759860038757
upweight_fake_component,0,C01_and_00_09,composite,,0.9,2,balanced_accuracy,0.5138071086257696,0.75732421875,0.5138071086257696
upweight_fake_component,0,C02_and_05_06,composite,88064.0,0.9,2,balanced_accuracy,0.9796339571475983,0.98291015625,0.9796339571475983
upweight_fake_component,0,C03_and_10_08,composite,,0.9,2,balanced_accuracy,0.5623242855072021,0.7802734375,0.5623242855072021
upweight_fake_component,0,C04_or_05_10,composite,,0.9,2,balanced_accuracy,0.7989938259124756,0.79638671875,0.7989938259124756
upweight_fake_component,0,C05_and_07_05,composite,,0.9,2,balanced_accuracy,0.7701479494571686,0.888671875,0.7701479494571686
