model_name,slice_id,metric,initial_metric,final_metric,delta_metric,auc_metric,max_metric,min_metric,n_checkpoints,kind,family,prompt_family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,answer_entropy_proxy,component_ids,control_type,continuous_status
EleutherAI/pythia-160m,retrieval_object,mean_logprob_correct,-11.240620777010918,-4.814778845757246,6.425841931253672,-5.943488491233438,-3.649927459657192,-11.240620777010918,4,atomic,retrieval,retrieval,retrieve_object,1,0.6,0.5,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,semantic_animal_class,mean_logprob_correct,-11.233834892511368,-2.6972363218665123,8.536598570644855,-5.198419297114015,-2.6972363218665123,-11.233834892511368,4,atomic,semantic,semantic,category,1,0.75,0.2,0.3,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,semantic_color_lookup,mean_logprob_correct,-11.27273315191269,-3.8521730937063694,7.42056005820632,-6.079940938390791,-3.8521730937063694,-11.27273315191269,4,atomic,semantic,semantic,color_lookup,1,0.7,0.25,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,syntax_is_are,mean_logprob_correct,-11.25129409134388,-3.2560415230691437,7.995252568274736,-5.760520554147661,-3.2560415230691437,-11.25129409134388,4,atomic,syntax,syntax,agreement,1,0.75,0.35,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,word_copy,mean_logprob_correct,-11.264556035399435,-4.542275093495846,6.722280941903589,-6.1529510617256165,-3.648015066981316,-11.264556035399435,4,atomic,string,string,copy,1,0.8,0.25,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,word_first,mean_logprob_correct,-11.160729184746742,-4.266000013798475,6.894729170948267,-6.183854100294411,-3.9228239730000496,-11.160729184746742,4,atomic,string,string,first,1,0.75,0.3,0.6,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,word_last,mean_logprob_correct,-11.267667219042778,-4.453533310443163,6.814133908599615,-6.322025533765554,-4.030920494347811,-11.267667219042778,4,atomic,string,string,last,1,0.7,0.3,0.6,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,word_reverse2,mean_logprob_correct,-11.095841884613035,-5.267102483659983,5.828739400953053,-6.073022083379328,-3.300780288875103,-11.095841884613035,4,atomic,string,string,reverse,1,0.55,0.5,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,word_same,mean_logprob_correct,-11.279986321926115,-3.9996085073798895,7.280377814546226,-6.210444917436689,-3.929458878934384,-11.279986321926115,4,atomic,string,string,same_compare,1,0.6,0.35,0.5,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_add_small,mean_correct_margin,-0.4218789488077163,-2.1570320036262274,-1.735153054818511,-1.2559784539043903,-0.4218789488077163,-2.1570320036262274,4,atomic,arithmetic,arithmetic,addition,1,0.9,0.2,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_compare,mean_correct_margin,-0.3494891226291656,-1.5846052281558514,-1.2351161055266857,-0.8881144681945443,-0.3494891226291656,-1.5846052281558514,4,atomic,arithmetic,arithmetic,comparison,1,0.85,0.2,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_even,mean_correct_margin,-0.4302447587251663,-1.9517460279166696,-1.5215012691915033,-1.1318865632638335,-0.4302447587251663,-1.9517460279166696,4,atomic,arithmetic,arithmetic,parity,1,0.65,0.4,0.5,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_max2,mean_correct_margin,-0.5976696610450745,-1.9334087632596493,-1.3357391022145748,-1.2051244815811515,-0.5976696610450745,-1.9334087632596493,4,atomic,arithmetic,arithmetic,max,1,0.55,0.45,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_min2,mean_correct_margin,-0.4419348388910293,-1.5514707937836647,-1.1095359548926353,-0.9419847186654806,-0.4419348388910293,-1.5514707937836647,4,atomic,arithmetic,arithmetic,min,1,0.55,0.45,0.4,1.0,,,usable_or_near_usable
