model,fold,mse,n_train,n_test,features,complexity,true_mechanism,replicate
three_factor,3,0.04124798672546953,10,2,"log_frequency,reference_learnability,formal_utility",3,three_factor,1
three_factor,4,0.08724326713639885,10,2,"log_frequency,reference_learnability,formal_utility",3,three_factor,1
frequency_only,0,0.47926713158379725,9,3,log_frequency,1,three_factor,2
frequency_only,1,0.17459468068309547,9,3,log_frequency,1,three_factor,2
frequency_only,2,0.17122223338269812,10,2,log_frequency,1,three_factor,2
frequency_only,3,0.5886542293526227,10,2,log_frequency,1,three_factor,2
frequency_only,4,0.11527667743487664,10,2,log_frequency,1,three_factor,2
learnability_only,0,0.04034011262913658,9,3,reference_learnability,1,three_factor,2
learnability_only,1,0.05609844954734187,9,3,reference_learnability,1,three_factor,2
learnability_only,2,0.9179244207218265,10,2,reference_learnability,1,three_factor,2
learnability_only,3,0.2688524459146368,10,2,reference_learnability,1,three_factor,2
learnability_only,4,0.27299749146593616,10,2,reference_learnability,1,three_factor,2
freq_learn,0,0.09406218349830286,9,3,"log_frequency,reference_learnability",2,three_factor,2
freq_learn,1,0.17237667571705248,9,3,"log_frequency,reference_learnability",2,three_factor,2
freq_learn,2,0.16169282595037276,10,2,"log_frequency,reference_learnability",2,three_factor,2
freq_learn,3,0.2156852440332164,10,2,"log_frequency,reference_learnability",2,three_factor,2
freq_learn,4,0.12216005538121386,10,2,"log_frequency,reference_learnability",2,three_factor,2
three_factor,0,0.016852600632300832,9,3,"log_frequency,reference_learnability,formal_utility",3,three_factor,2
three_factor,1,0.056534221680285913,9,3,"log_frequency,reference_learnability,formal_utility",3,three_factor,2
three_factor,2,0.035475412953204936,10,2,"log_frequency,reference_learnability,formal_utility",3,three_factor,2
three_factor,3,0.045527230729233856,10,2,"log_frequency,reference_learnability,formal_utility",3,three_factor,2
three_factor,4,0.019294174298972303,10,2,"log_frequency,reference_learnability,formal_utility",3,three_factor,2
frequency_only,0,2.3693606031122703,9,3,log_frequency,1,dependency_gated,0
frequency_only,1,0.5077868591274975,9,3,log_frequency,1,dependency_gated,0
frequency_only,2,0.32943909481113226,10,2,log_frequency,1,dependency_gated,0
frequency_only,3,0.7456162885159437,10,2,log_frequency,1,dependency_gated,0
frequency_only,4,0.5093119824477291,10,2,log_frequency,1,dependency_gated,0
learnability_only,0,1.4612381734483615,9,3,reference_learnability,1,dependency_gated,0
learnability_only,1,0.45456801361806254,9,3,reference_learnability,1,dependency_gated,0
learnability_only,2,1.047131891701908,10,2,reference_learnability,1,dependency_gated,0
learnability_only,3,0.26361235886338497,10,2,reference_learnability,1,dependency_gated,0
learnability_only,4,0.015922058657600994,10,2,reference_learnability,1,dependency_gated,0
freq_learn,0,1.9166876780908957,9,3,"log_frequency,reference_learnability",2,dependency_gated,0
