condition,seed,data_seen,task_i,task_j,linear_cka
baseline,0,512,A05_and_bits_5_25,S01_surface_xor_25_7,0.9829925298690796
baseline,0,512,A05_and_bits_5_25,S02_surface_xor_35_38,0.9891191720962524
baseline,0,512,A05_and_bits_5_25,S03_surface_xor_28_44,0.9756022095680237
baseline,0,512,A05_and_bits_5_25,U00_xor2_35_7,0.9756272435188293
baseline,0,512,A05_and_bits_5_25,U01_eq2_3_23,0.9845770001411438
baseline,0,512,A05_and_bits_5_25,U02_and_bits_10_16,0.9893771409988403
baseline,0,512,A05_and_bits_5_25,U03_xor2_36_26,0.9816081523895264
baseline,0,512,A06_and_bits_18_35,A00_not_bit_26,0.9863519668579102
baseline,0,512,A06_and_bits_18_35,A01_xor2_40_1,0.9867881536483765
baseline,0,512,A06_and_bits_18_35,A02_bit_1,0.9931390285491943
baseline,0,512,A06_and_bits_18_35,A03_and_bits_23_25,0.9845367670059204
baseline,0,512,A06_and_bits_18_35,A04_not_bit_0,0.9912198185920715
baseline,0,512,A06_and_bits_18_35,A05_and_bits_5_25,0.9887863993644714
baseline,0,512,A06_and_bits_18_35,A06_and_bits_18_35,1.0
baseline,0,512,A06_and_bits_18_35,A07_and_bits_46_18,0.9898036122322083
baseline,0,512,A06_and_bits_18_35,A08_not_bit_40,0.9835718274116516
baseline,0,512,A06_and_bits_18_35,A09_xor2_42_32,0.9753803610801697
baseline,0,512,A06_and_bits_18_35,A10_xor2_25_39,0.9871504902839661
baseline,0,512,A06_and_bits_18_35,A11_xor2_14_34,0.979110598564148
baseline,0,512,A06_and_bits_18_35,C00_or_04_01,0.9721187353134155
baseline,0,512,A06_and_bits_18_35,C01_or_09_02,0.989338755607605
baseline,0,512,A06_and_bits_18_35,C02_and_05_09,0.9879782199859619
baseline,0,512,A06_and_bits_18_35,C03_and_04_05,0.9839568734169006
baseline,0,512,A06_and_bits_18_35,C04_or_09_04,0.9787667393684387
baseline,0,512,A06_and_bits_18_35,C05_or_04_07,0.9791498184204102
baseline,0,512,A06_and_bits_18_35,C06_and_05_09,0.9874927401542664
baseline,0,512,A06_and_bits_18_35,C07_and_09_00,0.9774242639541626
baseline,0,512,A06_and_bits_18_35,K00_shortcut_for_10_bit39,0.9899385571479797
baseline,0,512,A06_and_bits_18_35,K01_shortcut_for_09_bit45,0.9836996793746948
baseline,0,512,A06_and_bits_18_35,K02_shortcut_for_07_bit11,0.9845947623252869
baseline,0,512,A06_and_bits_18_35,K03_shortcut_for_07_bit23,0.9893239736557007
baseline,0,512,A06_and_bits_18_35,S00_surface_xor_12_45,0.9890305399894714
baseline,0,512,A06_and_bits_18_35,S01_surface_xor_25_7,0.9886388778686523
baseline,0,512,A06_and_bits_18_35,S02_surface_xor_35_38,0.9915904998779297
baseline,0,512,A06_and_bits_18_35,S03_surface_xor_28_44,0.9788262844085693
baseline,0,512,A06_and_bits_18_35,U00_xor2_35_7,0.9824978113174438
baseline,0,512,A06_and_bits_18_35,U01_eq2_3_23,0.9867348670959473
baseline,0,512,A06_and_bits_18_35,U02_and_bits_10_16,0.9913198351860046
baseline,0,512,A06_and_bits_18_35,U03_xor2_36_26,0.9829967617988586
baseline,0,512,A07_and_bits_46_18,A00_not_bit_26,0.991455078125
baseline,0,512,A07_and_bits_46_18,A01_xor2_40_1,0.9900377988815308
baseline,0,512,A07_and_bits_46_18,A02_bit_1,0.9888681769371033
baseline,0,512,A07_and_bits_46_18,A03_and_bits_23_25,0.9874588847160339
baseline,0,512,A07_and_bits_46_18,A04_not_bit_0,0.9862747192382812
baseline,0,512,A07_and_bits_46_18,A05_and_bits_5_25,0.9800167083740234
baseline,0,512,A07_and_bits_46_18,A06_and_bits_18_35,0.9898032546043396
baseline,0,512,A07_and_bits_46_18,A07_and_bits_46_18,1.0
baseline,0,512,A07_and_bits_46_18,A08_not_bit_40,0.9799066781997681
baseline,0,512,A07_and_bits_46_18,A09_xor2_42_32,0.9790219068527222
baseline,0,512,A07_and_bits_46_18,A10_xor2_25_39,0.9850975871086121
baseline,0,512,A07_and_bits_46_18,A11_xor2_14_34,0.9845623970031738
baseline,0,512,A07_and_bits_46_18,C00_or_04_01,0.9817202091217041
baseline,0,512,A07_and_bits_46_18,C01_or_09_02,0.9839271306991577
baseline,0,512,A07_and_bits_46_18,C02_and_05_09,0.9882172346115112
baseline,0,512,A07_and_bits_46_18,C03_and_04_05,0.9845016598701477
baseline,0,512,A07_and_bits_46_18,C04_or_09_04,0.9833078384399414
baseline,0,512,A07_and_bits_46_18,C05_or_04_07,0.9843012094497681
baseline,0,512,A07_and_bits_46_18,C06_and_05_09,0.9853991866111755
baseline,0,512,A07_and_bits_46_18,C07_and_09_00,0.9819253087043762
baseline,0,512,A07_and_bits_46_18,K00_shortcut_for_10_bit39,0.9890110492706299
baseline,0,512,A07_and_bits_46_18,K01_shortcut_for_09_bit45,0.9832260608673096
baseline,0,512,A07_and_bits_46_18,K02_shortcut_for_07_bit11,0.9912185072898865
baseline,0,512,A07_and_bits_46_18,K03_shortcut_for_07_bit23,0.9901248812675476
baseline,0,512,A07_and_bits_46_18,S00_surface_xor_12_45,0.9830162525177002
baseline,0,512,A07_and_bits_46_18,S01_surface_xor_25_7,0.9896625876426697
baseline,0,512,A07_and_bits_46_18,S02_surface_xor_35_38,0.988623321056366
baseline,0,512,A07_and_bits_46_18,S03_surface_xor_28_44,0.9796017408370972
baseline,0,512,A07_and_bits_46_18,U00_xor2_35_7,0.987682044506073
baseline,0,512,A07_and_bits_46_18,U01_eq2_3_23,0.9909745454788208
baseline,0,512,A07_and_bits_46_18,U02_and_bits_10_16,0.987105131149292
baseline,0,512,A07_and_bits_46_18,U03_xor2_36_26,0.9817830920219421
baseline,0,512,A08_not_bit_40,A00_not_bit_26,0.978773832321167
baseline,0,512,A08_not_bit_40,A01_xor2_40_1,0.9823463559150696
baseline,0,512,A08_not_bit_40,A02_bit_1,0.9825549721717834
baseline,0,512,A08_not_bit_40,A03_and_bits_23_25,0.9859785437583923
baseline,0,512,A08_not_bit_40,A04_not_bit_0,0.9871386289596558
baseline,0,512,A08_not_bit_40,A05_and_bits_5_25,0.9817252159118652
baseline,0,512,A08_not_bit_40,A06_and_bits_18_35,0.9835719466209412
baseline,0,512,A08_not_bit_40,A07_and_bits_46_18,0.9799066781997681
baseline,0,512,A08_not_bit_40,A08_not_bit_40,1.0
baseline,0,512,A08_not_bit_40,A09_xor2_42_32,0.9816993474960327
baseline,0,512,A08_not_bit_40,A10_xor2_25_39,0.9880157113075256
baseline,0,512,A08_not_bit_40,A11_xor2_14_34,0.9883121252059937
baseline,0,512,A08_not_bit_40,C00_or_04_01,0.9791078567504883
baseline,0,512,A08_not_bit_40,C01_or_09_02,0.9787593483924866
baseline,0,512,A08_not_bit_40,C02_and_05_09,0.9816715717315674
baseline,0,512,A08_not_bit_40,C03_and_04_05,0.9903109669685364
baseline,0,512,A08_not_bit_40,C04_or_09_04,0.9850980043411255
baseline,0,512,A08_not_bit_40,C05_or_04_07,0.981666088104248
baseline,0,512,A08_not_bit_40,C06_and_05_09,0.9905665516853333
baseline,0,512,A08_not_bit_40,C07_and_09_00,0.9842289686203003
baseline,0,512,A08_not_bit_40,K00_shortcut_for_10_bit39,0.9833093881607056
baseline,0,512,A08_not_bit_40,K01_shortcut_for_09_bit45,0.9937716126441956
baseline,0,512,A08_not_bit_40,K02_shortcut_for_07_bit11,0.9839695692062378
baseline,0,512,A08_not_bit_40,K03_shortcut_for_07_bit23,0.9798331260681152
baseline,0,512,A08_not_bit_40,S00_surface_xor_12_45,0.9800598621368408
baseline,0,512,A08_not_bit_40,S01_surface_xor_25_7,0.9738180637359619
baseline,0,512,A08_not_bit_40,S02_surface_xor_35_38,0.9786573052406311
baseline,0,512,A08_not_bit_40,S03_surface_xor_28_44,0.9863603115081787
baseline,0,512,A08_not_bit_40,U00_xor2_35_7,0.982581377029419
baseline,0,512,A08_not_bit_40,U01_eq2_3_23,0.9870879054069519
baseline,0,512,A08_not_bit_40,U02_and_bits_10_16,0.9827693104743958
baseline,0,512,A08_not_bit_40,U03_xor2_36_26,0.9916274547576904
baseline,0,512,A09_xor2_42_32,A00_not_bit_26,0.9708864688873291
baseline,0,512,A09_xor2_42_32,A01_xor2_40_1,0.9853366613388062
baseline,0,512,A09_xor2_42_32,A02_bit_1,0.9731388092041016
baseline,0,512,A09_xor2_42_32,A03_and_bits_23_25,0.9836017489433289
baseline,0,512,A09_xor2_42_32,A04_not_bit_0,0.9737502336502075
baseline,0,512,A09_xor2_42_32,A05_and_bits_5_25,0.9730892777442932
baseline,0,512,A09_xor2_42_32,A06_and_bits_18_35,0.9753801822662354
baseline,0,512,A09_xor2_42_32,A07_and_bits_46_18,0.9790220260620117
